id,category_id,name,price,original_price,stock,sales,main_image,images,description,detail,status,created_at,update_time,cover_image,is_recommend,sale_count
1,6,11,0.20,0.20,2,0,http://localhost:8080/uploads/1744956816239-c1ed06d7-f5e0-4aa5-986b-5aa96c381d93.jpeg,http://localhost:8080/uploads/1744956828280-7033e800-07e3-460d-b569-482e03b51f6a.jpg,11,112333,1,"2025-04-18 14:15:19","2025-04-21 15:33:49",NULL,0,0
3,6,22,0.30,0.70,0,0,http://localhost:8080/uploads/1745247862930-7d0cd6c4-bde1-4f22-bad4-b4dc00eef49d.png,http://localhost:8080/uploads/1745247862930-7d0cd6c4-bde1-4f22-bad4-b4dc00eef49d.png,22,"<ul><li>12111</li><li><span style="background-color: rgb(231, 95, 51);">334</span></li></ul><p><img src="http://localhost:8080/uploads/1745247914396-65c041f3-9ae1-482f-9094-dd9005d51bf6.png" alt="" data-href="" style=""/></p><p><br></p>",1,"2025-04-21 23:05:18","2025-04-22 13:08:41",NULL,1,0
4,14,新款电脑111,941.79,416.32,2,56,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第1号商品的描述,<p>这是第1号商品的详细描述</p>,1,"2025-04-17 13:57:04","2025-04-22 14:47:34",NULL,0,828
5,13,精品童装988,333.57,789.62,82,39,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第2号商品的描述,<p>这是第2号商品的详细描述</p>,1,"2025-04-01 13:57:04","2025-04-22 14:48:08",NULL,0,435
6,6,热销童装536,315.37,1162.59,87,164,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第3号商品的描述,<p>这是第3号商品的详细描述</p>,1,"2025-04-16 13:57:04","2025-04-22 14:47:36",NULL,0,526
7,6,高端童装132,56.67,933.15,74,568,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第4号商品的描述,<p>这是第4号商品的详细描述</p>,1,"2025-04-04 13:57:04","2025-04-22 14:47:56",NULL,0,324
8,16,时尚电脑973,405.69,98.58,70,976,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第5号商品的描述,<p>这是第5号商品的详细描述</p>,1,"2025-03-31 13:57:04","2025-04-22 14:48:08",NULL,0,853
9,6,高端男装664,735.81,764.36,78,445,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第6号商品的描述,<p>这是第6号商品的详细描述</p>,1,"2025-03-27 13:57:04","2025-04-22 14:48:08",NULL,0,23
10,12,高端手机222,980.07,273.77,39,337,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第7号商品的描述,<p>这是第7号商品的详细描述</p>,1,"2025-04-08 13:57:04","2025-04-22 14:47:51",NULL,0,452
11,16,高端童装625,741.27,1042.16,88,823,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第8号商品的描述,<p>这是第8号商品的详细描述</p>,1,"2025-04-09 13:57:04","2025-04-22 14:47:46",NULL,0,852
12,17,新款女装101,651.84,1168.70,87,161,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第9号商品的描述,<p>这是第9号商品的详细描述</p>,1,"2025-04-17 13:57:04","2025-04-22 14:47:33",NULL,0,433
13,14,新款男装139,395.40,635.37,76,415,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第10号商品的描述,<p>这是第10号商品的详细描述</p>,1,"2025-03-30 13:57:04","2025-04-22 14:48:08",NULL,0,665
14,18,热销童装227,377.48,226.08,22,898,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第11号商品的描述,<p>这是第11号商品的详细描述</p>,1,"2025-03-29 13:57:04","2025-04-22 13:57:04",NULL,0,327
15,8,时尚男装684,368.44,941.51,22,18,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第12号商品的描述,<p>这是第12号商品的详细描述</p>,1,"2025-04-10 13:57:04","2025-04-22 13:57:04",NULL,0,61
16,6,热销电脑438,532.91,370.39,26,198,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第13号商品的描述,<p>这是第13号商品的详细描述</p>,1,"2025-04-17 13:57:04","2025-04-22 13:57:04",NULL,0,322
17,6,精品童装609,469.60,555.16,88,200,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第14号商品的描述,<p>这是第14号商品的详细描述</p>,1,"2025-04-12 13:57:04","2025-04-22 13:57:04",NULL,0,151
18,15,时尚女装181,61.58,851.55,96,576,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第15号商品的描述,<p>这是第15号商品的详细描述</p>,1,"2025-03-24 13:57:04","2025-04-22 13:57:04",NULL,0,145
19,16,高端童装702,56.76,165.18,12,125,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第16号商品的描述,<p>这是第16号商品的详细描述</p>,1,"2025-04-15 13:57:04","2025-04-22 13:57:04",NULL,0,862
20,13,精品童装185,154.86,218.59,67,40,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第17号商品的描述,<p>这是第17号商品的详细描述</p>,1,"2025-04-17 13:57:04","2025-04-22 13:57:04",NULL,0,811
21,12,时尚手机662,33.88,172.29,55,19,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第18号商品的描述,<p>这是第18号商品的详细描述</p>,1,"2025-04-10 13:57:04","2025-04-22 13:57:04",NULL,0,44
22,18,新款童装344,314.30,620.90,47,603,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第19号商品的描述,<p>这是第19号商品的详细描述</p>,1,"2025-04-05 13:57:04","2025-04-22 13:57:04",NULL,0,81
23,14,时尚童装421,456.56,1208.43,2,328,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第20号商品的描述,<p>这是第20号商品的详细描述</p>,1,"2025-04-05 13:57:04","2025-04-22 13:57:04",NULL,0,851
24,13,精品童装518,291.99,1042.61,84,750,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第21号商品的描述,<p>这是第21号商品的详细描述</p>,1,"2025-04-16 13:57:04","2025-04-22 13:57:04",NULL,0,852
